redispatch_name,matched_name,score,source,reasoning,needs_review
KNAPSACK_20,Knapsack,100.0,fuzzy,,
KURATIV_VIANDEN_POOL,Pool,100.0,fuzzy,,
Kiel (Küstenkraftwerk gesamt),Pv Gesamt,80.0,fuzzy,,
Kirchlengern GT 1,Gt,100.0,fuzzy,,
Knapsack 1,Knapsack,100.0,fuzzy,,
Kraftwerk Walheim GT D,Walheim,100.0,fuzzy,,
Kühtai 1 (Uniper),Ka Sundern,56.0,fuzzy,,YES
Kühtai 2 (Uniper),Ka Sundern,56.0,fuzzy,,YES
LAUSWARD_AGUD,Lausward Phase,76.2,fuzzy,,
LAUSWARD_GUDF,Lausward Phase,76.2,fuzzy,,
LEIPHEIM_10 (bnBm),Leipheim,100.0,fuzzy,,
Leitzach Pool,Pool,100.0,fuzzy,,
Linden GKL DT,Dt,100.0,fuzzy,,
Linden GKL GT 1,Gt,100.0,fuzzy,,
Linden GKL GT 3,Gt,100.0,fuzzy,,
Lippendorf,Lippendorf,100.0,fuzzy,,
Lippendorf EnBW,Lippendorf,100.0,fuzzy,,
Lippendorf VE,Lippendorf,100.0,fuzzy,,
Marbach GT 4 (bnBm),Gt,100.0,fuzzy,,
Markersbach (Standort),Markersbach,100.0,fuzzy,,
München Nord 2,Nord,100.0,fuzzy,,
NEURATH_F,Neurath,100.0,fuzzy,,
NEURATH_G,Neurath,100.0,fuzzy,,
NIEDERAUSSEM_G,Niederaussem,100.0,fuzzy,,
NIEDERAUSSEM_H,Niederaussem,100.0,fuzzy,,
NIEDERAUSSEM_K,Niederaussem,100.0,fuzzy,,
NIEHL-31-GUD,Gud,100.0,fuzzy,,
NIEHL-II,Gud Niehl Rheinenergie,76.9,fuzzy,,
Netzreservekraftwerk BERGKAMEN_A,Bergkamen,100.0,fuzzy,,
Netzreservekraftwerk Bexbach A,Bexbach,100.0,fuzzy,,
Netzreservekraftwerk Darmstadt/GTKW GT11,Gtkw Darmstadt,100.0,fuzzy,,
Netzreservekraftwerk Darmstadt/GTKW GT12,Gtkw Darmstadt,100.0,fuzzy,,
Netzreservekraftwerk GTKW-DA-POOL,Da,100.0,fuzzy,,
Netzreservekraftwerk HERNE_4,Herne,100.0,fuzzy,,
Netzreservekraftwerk KMW 2 DT,Dt,100.0,fuzzy,,
Netzreservekraftwerk UPM Schongau,Upm Schongau,100.0,fuzzy,,
Netzreservekraftwerk Weiher C,Weiher,100.0,fuzzy,,
Niederrad 1,Niederau,73.7,fuzzy,,
Notfall-RD mit AVA,Mit,100.0,fuzzy,,
Notfall-RD mit SHN,Mit,100.0,fuzzy,,
OWP Albatros AC151 (kurativ),Windpark Albatros,64.0,fuzzy,,YES
OWP BARD Offshore 1 AC102 (kurativ),Bard Offshore Malo,83.9,fuzzy,,
OWP BARD Offshore 1 AC103 (kurativ),Bard Offshore Malo,83.9,fuzzy,,
OWP Borkum Riffgrund 3,Borkum Riffgrund,100.0,fuzzy,,
OWP Borkum Riffgrund 3 Test,Borkum Riffgrund,100.0,fuzzy,,
OWP Deutsche Bucht AC152 (kurativ),Deutsche Bucht,100.0,fuzzy,,
OWP Deutsche Bucht AC153 (kurativ),Deutsche Bucht,100.0,fuzzy,,
OWP Nordergründe,Owp Nordergrunde,93.8,fuzzy,,
OWP UW Büttel,Uw,100.0,fuzzy,,
OWP UW Diele,Uw,100.0,fuzzy,,
OWP UW Dörpen-West,West,100.0,fuzzy,,
OWP UW Emden-Ost,Ost,100.0,fuzzy,,
OWP Veja Mate AC104 (kurativ),Owp Veja Mate,100.0,fuzzy,,
OWP Veja Mate AC105 (kurativ),Owp Veja Mate,100.0,fuzzy,,
Obernburg,Obernburg Anlage,100.0,fuzzy,,
Pumpspeicherwerk Glems,Pumpspeicherwerk Ronkhausen Psw,84.2,fuzzy,,
Pumpspeicherwerk Schluchseegruppe Häusern/Waldshut/Witznau RZ TNG,Rz,100.0,fuzzy,,
Pumpspeicherwerk Säckingen RZ TNG,Rz,100.0,fuzzy,,
Pumpspeicherwerk Wehr RZ TNG,Rz,100.0,fuzzy,,
Reisach,Reisach,100.0,fuzzy,,
ReserveKW Ingolstadt 3,Ingolstadt,100.0,fuzzy,,
ReserveKW Ingolstadt 4,Ingolstadt,100.0,fuzzy,,
ReserveKW Plattling,Plattling,100.0,fuzzy,,
ReserveKW Staudinger 4,Staudinger,100.0,fuzzy,,
ReserveKW Staudinger 5,Staudinger,100.0,fuzzy,,
ReserveKW Zolling 5,Zolling,100.0,fuzzy,,
Reservekraftwerk Altbach/Deizisau Block 1,Altbach Deizisau,100.0,fuzzy,,
Reservekraftwerk Heilbronn Block 5,Heilbronn,100.0,fuzzy,,
Reservekraftwerk Heilbronn Block 6,Heilbronn,100.0,fuzzy,,
Reservekraftwerk Heilbronn Block 7,Heilbronn,100.0,fuzzy,,
Reservekraftwerk Marbach GT 3,Gt,100.0,fuzzy,,
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4,Rheinhafen Dampfkraftwerk,100.0,fuzzy,,
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 7,Rheinhafen Dampfkraftwerk,100.0,fuzzy,,
Reservekraftwerk Walheim Block 2,Walheim,100.0,fuzzy,,
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,Rheinhafen Dampfkraftwerk,100.0,fuzzy,,
Robert Frank 4 GT (KapRes),Gt,100.0,fuzzy,,
Rostock Kohlekraftwerk,De Rostock,82.4,fuzzy,,
SHN Cluster Audorf Süd,Audorf,100.0,fuzzy,,
SHN Cluster Brunsbüttel,Mgt Cluster,77.8,fuzzy,,
SHN Cluster Hamburg Nord,Nord,100.0,fuzzy,,
SHN Cluster Handewitt T411,Handewitt,100.0,fuzzy,,
SHN Cluster Handewitt T412 T413,Handewitt,100.0,fuzzy,,
SHN Cluster Handewitt T414 T415,Handewitt,100.0,fuzzy,,
SHN Cluster Heide West T411 T412,West,100.0,fuzzy,,
SHN Cluster Heide West T413,West,100.0,fuzzy,,
SHN Cluster Husum Nord,Nord,100.0,fuzzy,,
SHN Cluster Itzehoe West,West,100.0,fuzzy,,
SHN Cluster Jardelund,Jardelund,100.0,fuzzy,,
SHN Cluster Kiel Süd,Mgt Cluster,77.8,fuzzy,,
SHN Cluster Klixbüll,Mgt Cluster,77.8,fuzzy,,
SHN Cluster Krümmel,Mgt Cluster,77.8,fuzzy,,
SHN Cluster Kummerfeld,Kummerfeld,100.0,fuzzy,,
SHN Cluster Lübeck,Mgt Cluster,77.8,fuzzy,,
SHN Cluster Schuby West,West,100.0,fuzzy,,
SHN Cluster Süderdonn T411,Mgt Cluster,77.8,fuzzy,,
SHN Cluster Süderdonn T412 T413,Mgt Cluster,77.8,fuzzy,,
SHN Cluster Wilster West,West,100.0,fuzzy,,
STUMMHAFEN_10,Stummer,60.0,fuzzy,,YES
SW München KW-Pool,Pool,100.0,fuzzy,,
Schkopau,Schkopau,100.0,fuzzy,,
Schwarze Pumpe (Standort),Schwarze Pumpe,100.0,fuzzy,,
Silz 1 (Uniper),Hh Sunpower,58.3,fuzzy,,YES
Silz 2 (TIWAG),Twa Teil,60.0,fuzzy,,YES
Silz 2 (Uniper),Hh Sunpower,58.3,fuzzy,,YES
Stuttgart Umland Nord EE,Nord,100.0,fuzzy,,
Stuttgart Umland Ost EE,Ost,100.0,fuzzy,,
Stuttgart Umland Süd EE,Stuttgart,100.0,fuzzy,,
TTG Cluster EE Bechterdissen T411,Mgt Cluster,77.8,fuzzy,,
Tanzmühle,Tanzmuhle,88.9,fuzzy,,
Thyrow A (SysRel),Thyrow,100.0,fuzzy,,
Thyrow B (KapRes),Thyrow,100.0,fuzzy,,
Thyrow B (SysRel),Thyrow,100.0,fuzzy,,
Thyrow C (KapRes),Thyrow,100.0,fuzzy,,
Thyrow C (SysRel),Thyrow,100.0,fuzzy,,
Thyrow D (KapRes),Thyrow,100.0,fuzzy,,
Thyrow D (SysRel),Thyrow,100.0,fuzzy,,
Thyrow E (KapRes),Thyrow,100.0,fuzzy,,
Thyrow E (SysRel),Thyrow,100.0,fuzzy,,
UPM Schongau HKW3,Upm Schongau,100.0,fuzzy,,
UW Büttel,Uw,100.0,fuzzy,,
UW Diele,Uw,100.0,fuzzy,,
UW Dörpen-West,West,100.0,fuzzy,,
UW Emden-Ost,Ost,100.0,fuzzy,,
UW Garrel-Ost alpha,Garrel,100.0,fuzzy,,
Vorarlberger Ilwerke,Oberbehmer Muhlenwerke,61.9,fuzzy,,YES
WALSUM_10,Walsum,100.0,fuzzy,,
WEISWEILERVGT_H3,Weisweiler,76.9,fuzzy,,
WEISWEILER_G,Weisweiler,100.0,fuzzy,,
WEISWEILER_H,Weisweiler,100.0,fuzzy,,
WEISWEILER_VGTG3,Weisweiler,100.0,fuzzy,,
WP Emsland,Emsland,100.0,fuzzy,,
WP Jardelund,Jardelund,100.0,fuzzy,,
WP Neudersum,Wp,100.0,fuzzy,,
WP Schafflund,Wp,100.0,fuzzy,,
WP Wilstermarsch,Wp,100.0,fuzzy,,
WP_GREVENBROICH,Grevenbroich,100.0,fuzzy,,
WP_JUECHEN A44N,Wp,100.0,fuzzy,,
Walchensee 1,Drachensee,72.7,fuzzy,,
